round_number,date,time,location,home_team,away_team,home_team_score,away_team_score
1,2023-09-08,00:20,GEHA Field at Arrowhead Stadium,KC,DET,20,21
1,2023-09-10,17:00,Mercedes-Benz Stadium,ATL,CAR,24,10
1,2023-09-10,17:00,M&T Bank Stadium,BAL,HOU,25,9
1,2023-09-10,17:00,Cleveland Browns Stadium,CLE,CIN,24,3
1,2023-09-10,17:00,Lucas Oil Stadium,IND,JAX,21,31
1,2023-09-10,17:00,U.S. Bank Stadium,MIN,TB,17,20
1,2023-09-10,17:00,Caesars Superdome,NO,TEN,16,15
1,2023-09-10,17:00,Acrisure Stadium,PIT,SF,7,30
1,2023-09-10,17:00,FedExField,WAS,ARI,20,16
1,2023-09-10,20:25,Soldier Field,CHI,GB,20,38
1,2023-09-10,20:25,Empower Field at Mile High,DEN,LV,16,17
1,2023-09-10,20:25,SoFi Stadium,LAC,MIA,34,36
1,2023-09-10,20:25,Gillette Stadium,NE,PHI,20,25
1,2023-09-10,20:25,Lumen Field,SEA,LA,13,30
1,2023-09-11,00:20,MetLife Stadium,NYG,DAL,0,40
1,2023-09-12,00:15,MetLife Stadium,NYJ,BUF,22,16
2,2023-09-15,00:15,Lincoln Financial Field,PHI,MIN,34,28
2,2023-09-17,17:00,Mercedes-Benz Stadium,ATL,GB,25,24
2,2023-09-17,17:00,Highmark Stadium,BUF,LV,38,10
2,2023-09-17,17:00,Paycor Stadium,CIN,BAL,24,27
2,2023-09-17,17:00,Ford Field,DET,SEA,31,37
2,2023-09-17,17:00,NRG Stadium,HOU,IND,20,31
2,2023-09-17,17:00,EverBank Stadium,JAX,KC,9,17
2,2023-09-17,17:00,Raymond James Stadium,TB,CHI,27,17
2,2023-09-17,17:00,Nissan Stadium,TEN,LAC,27,24
2,2023-09-17,20:05,State Farm Stadium,ARI,NYG,28,31
2,2023-09-17,20:05,SoFi Stadium,LA,SF,23,30
2,2023-09-17,20:25,AT&T Stadium,DAL,NYJ,30,10
2,2023-09-17,20:25,Empower Field at Mile High,DEN,WAS,33,35
2,2023-09-18,00:20,Gillette Stadium,NE,MIA,17,24
2,2023-09-18,23:15,Bank of America Stadium,CAR,NO,17,20
2,2023-09-19,00:15,Acrisure Stadium,PIT,CLE,26,22
3,2023-09-22,00:15,Levi's® Stadium,SF,NYG,30,12
3,2023-09-24,17:00,M&T Bank Stadium,BAL,IND,19,22
3,2023-09-24,17:00,Cleveland Browns Stadium,CLE,TEN,27,3
3,2023-09-24,17:00,Ford Field,DET,ATL,20,6
3,2023-09-24,17:00,Lambeau Field,GB,NO,18,17
3,2023-09-24,17:00,EverBank Stadium,JAX,HOU,17,37
3,2023-09-24,17:00,Hard Rock Stadium,MIA,DEN,70,20
3,2023-09-24,17:00,U.S. Bank Stadium,MIN,LAC,24,28
3,2023-09-24,17:00,MetLife Stadium,NYJ,NE,10,15
3,2023-09-24,17:00,FedExField,WAS,BUF,3,37
3,2023-09-24,20:05,Lumen Field,SEA,CAR,37,27
3,2023-09-24,20:25,State Farm Stadium,ARI,DAL,28,16
3,2023-09-24,20:25,GEHA Field at Arrowhead Stadium,KC,CHI,41,10
3,2023-09-25,00:20,Allegiant Stadium,LV,PIT,18,23
3,2023-09-25,23:15,Raymond James Stadium,TB,PHI,11,25
3,2023-09-26,00:15,Paycor Stadium,CIN,LA,19,16
4,2023-09-29,00:15,Lambeau Field,GB,DET,20,34
4,2023-10-01,13:30,Wembley Stadium,JAX,ATL,23,7
4,2023-10-01,17:00,Highmark Stadium,BUF,MIA,48,20
4,2023-10-01,17:00,Bank of America Stadium,CAR,MIN,13,21
4,2023-10-01,17:00,Soldier Field,CHI,DEN,28,31
4,2023-10-01,17:00,Cleveland Browns Stadium,CLE,BAL,3,28
4,2023-10-01,17:00,NRG Stadium,HOU,PIT,30,6
4,2023-10-01,17:00,Lucas Oil Stadium,IND,LA,23,29
4,2023-10-01,17:00,Caesars Superdome,NO,TB,9,26
4,2023-10-01,17:00,Lincoln Financial Field,PHI,WAS,34,31
4,2023-10-01,17:00,Nissan Stadium,TEN,CIN,27,3
4,2023-10-01,20:05,SoFi Stadium,LAC,LV,24,17
4,2023-10-01,20:25,AT&T Stadium,DAL,NE,38,3
4,2023-10-01,20:25,Levi's® Stadium,SF,ARI,35,16
4,2023-10-02,00:20,MetLife Stadium,NYJ,KC,20,23
4,2023-10-03,00:15,MetLife Stadium,NYG,SEA,3,24
5,2023-10-06,00:15,FedExField,WAS,CHI,20,40
5,2023-10-08,13:30,Tottenham Hotspur Stadium,BUF,JAX,20,25
5,2023-10-08,17:00,Mercedes-Benz Stadium,ATL,HOU,21,19
5,2023-10-08,17:00,Ford Field,DET,CAR,42,24
5,2023-10-08,17:00,Lucas Oil Stadium,IND,TEN,23,16
5,2023-10-08,17:00,Hard Rock Stadium,MIA,NYG,31,16
5,2023-10-08,17:00,Gillette Stadium,NE,NO,0,34
5,2023-10-08,17:00,Acrisure Stadium,PIT,BAL,17,10
5,2023-10-08,20:05,State Farm Stadium,ARI,CIN,20,34
5,2023-10-08,20:05,SoFi Stadium,LA,PHI,14,23
5,2023-10-08,20:25,Empower Field at Mile High,DEN,NYJ,21,31
5,2023-10-08,20:25,U.S. Bank Stadium,MIN,KC,20,27
5,2023-10-09,00:20,Levi's® Stadium,SF,DAL,42,10
5,2023-10-10,00:15,Allegiant Stadium,LV,GB,17,13
6,2023-10-13,00:15,GEHA Field at Arrowhead Stadium,KC,DEN,19,8
6,2023-10-15,13:30,Tottenham Hotspur Stadium,TEN,BAL,16,24
6,2023-10-15,17:00,Mercedes-Benz Stadium,ATL,WAS,16,24
6,2023-10-15,17:00,Soldier Field,CHI,MIN,13,19
6,2023-10-15,17:00,Paycor Stadium,CIN,SEA,17,13
6,2023-10-15,17:00,Cleveland Browns Stadium,CLE,SF,19,17
6,2023-10-15,17:00,NRG Stadium,HOU,NO,20,13
6,2023-10-15,17:00,EverBank Stadium,JAX,IND,37,20
6,2023-10-15,17:00,Hard Rock Stadium,MIA,CAR,42,21
6,2023-10-15,20:05,Allegiant Stadium,LV,NE,21,17
6,2023-10-15,20:25,SoFi Stadium,LA,ARI,26,9
6,2023-10-15,20:25,MetLife Stadium,NYJ,PHI,20,14
6,2023-10-15,20:25,Raymond James Stadium,TB,DET,6,20
6,2023-10-16,00:20,Highmark Stadium,BUF,NYG,14,9
6,2023-10-17,00:15,SoFi Stadium,LAC,DAL,17,20
7,2023-10-20,00:15,Caesars Superdome,NO,JAX,24,31
7,2023-10-22,17:00,M&T Bank Stadium,BAL,DET,38,6
7,2023-10-22,17:00,Soldier Field,CHI,LV,30,12
7,2023-10-22,17:00,Lucas Oil Stadium,IND,CLE,38,39
7,2023-10-22,17:00,Gillette Stadium,NE,BUF,29,25
7,2023-10-22,17:00,MetLife Stadium,NYG,WAS,14,7
7,2023-10-22,17:00,Raymond James Stadium,TB,ATL,13,16
7,2023-10-22,20:05,SoFi Stadium,LA,PIT,17,24
7,2023-10-22,20:05,Lumen Field,SEA,ARI,20,10
7,2023-10-22,20:25,Empower Field at Mile High,DEN,GB,19,17
7,2023-10-22,20:25,GEHA Field at Arrowhead Stadium,KC,LAC,31,17
7,2023-10-23,00:20,Lincoln Financial Field,PHI,MIA,31,17
7,2023-10-24,00:15,U.S. Bank Stadium,MIN,SF,22,17
8,2023-10-27,00:15,Highmark Stadium,BUF,TB,24,18
8,2023-10-29,17:00,Bank of America Stadium,CAR,HOU,15,13
8,2023-10-29,17:00,AT&T Stadium,DAL,LA,43,20
8,2023-10-29,17:00,Lambeau Field,GB,MIN,10,24
8,2023-10-29,17:00,Lucas Oil Stadium,IND,NO,27,38
8,2023-10-29,17:00,Hard Rock Stadium,MIA,NE,31,17
8,2023-10-29,17:00,MetLife Stadium,NYG,NYJ,10,13
8,2023-10-29,17:00,Acrisure Stadium,PIT,JAX,10,20
8,2023-10-29,17:00,Nissan Stadium,TEN,ATL,28,23
8,2023-10-29,17:00,FedExField,WAS,PHI,31,38
8,2023-10-29,20:05,Lumen Field,SEA,CLE,24,20
8,2023-10-29,20:25,State Farm Stadium,ARI,BAL,24,31
8,2023-10-29,20:25,Empower Field at Mile High,DEN,KC,24,9
8,2023-10-29,20:25,Levi's® Stadium,SF,CIN,17,31
8,2023-10-30,00:20,SoFi Stadium,LAC,CHI,30,13
8,2023-10-31,00:15,Ford Field,DET,LV,26,14
9,2023-11-03,00:15,Acrisure Stadium,PIT,TEN,20,16
9,2023-11-05,14:30,Frankfurt Stadium,KC,MIA,21,14
9,2023-11-05,18:00,Mercedes-Benz Stadium,ATL,MIN,28,31
9,2023-11-05,18:00,M&T Bank Stadium,BAL,SEA,37,3
9,2023-11-05,18:00,Cleveland Browns Stadium,CLE,ARI,27,0
